Entity,Year,Combustibles fósiles (TWh),Nuclear (TWh),Geotérmica/Biomasa (TWh),Solar (TWh),Eólica (TWh),Hidroeléctrica (TWh)
Africa,1965,0.0,0.0,0.0,0.0,0.0,13.905635
Africa,1966,0.0,0.0,0.0,0.0,0.0,15.510005
Africa,1967,0.0,0.0,0.0,0.0,0.0,16.190636
Africa,1968,0.0,0.0,0.0,0.0,0.0,18.938341
Africa,1969,0.0,0.0,0.0,0.0,0.0,22.100891
Africa,1970,0.0,0.0,0.0,0.0,0.0,27.630428
Africa,1971,68.055,0.0,0.164,0.0,0.0,26.01339
Africa,1972,72.942,0.0,0.165,0.0,0.0,29.633196
Africa,1973,80.485,0.0,0.17,0.0,0.0,31.345707
Africa,1974,85.297,0.0,0.175,0.0,0.0,35.667076
Africa,1975,93.873,0.0,0.172,0.0,0.0,37.717968
Africa,1976,99.765,0.0,0.185,0.0,0.0,41.797634
Africa,1977,103.477,0.0,0.189,0.0,0.0,45.92877
Africa,1978,111.416,0.0,0.195,0.0,0.0,46.306942
Africa,1979,122.225,0.0,0.201,0.0,0.0,49.56523
Africa,1980,136.391,0.0,0.207,0.0,0.0,48.311787
Africa,1981,155.469,0.0,0.218,0.0,0.0,50.192905
Africa,1982,165.379,0.0,0.236,0.0,0.0,50.206238
Africa,1983,176.267,0.0,0.23,0.0,0.0,45.24716
Africa,1984,192.18,3.925,0.234,0.0,0.0,44.489975
Africa,1985,203.267,5.315,0.269,0.0,0.0,49.449684
Africa,1986,208.106,8.803,0.659,0.0,0.0,51.14537
Africa,1987,224.781,6.167,0.658,0.0,0.0,49.05646
Africa,1988,229.576,10.493,0.626,0.0,0.0,53.593452
Africa,1989,237.801,11.099,0.617,0.0,0.0,56.27621
Africa,1990,249.631,8.449,0.796,0.0,0.0,57.254658
Africa,1991,252.482,9.144,0.812,0.0,0.0,60.65149
Africa,1992,258.211,9.288,0.84225,0.0,0.0,57.86029
Africa,1993,272.374,7.255,0.9377,0.0,0.002,56.682507
Africa,1994,281.016,9.697,0.835,0.0,0.0054,57.59605
Africa,1995,289.332,11.301,1.0187,0.0,0.0063,59.76888
Africa,1996,306.684,11.775,1.258093,0.0,0.0071,62.31646
Africa,1997,321.521,12.647,1.3866404,0.0,0.0072,63.852497
Africa,1998,324.002,13.601,1.7125492,0.0,0.0076,66.654884
Africa,1999,332.076,12.837,1.6961248,0.0,0.0198,70.68426
Africa,2000,352.236,13.01,2.2690632,0.011941,0.1755,75.25581
Africa,2001,364.716,10.719,2.3353527,0.01496,0.41558,80.86911
Africa,2002,389.96,11.991,2.2864,0.016799714,0.44358402,85.02647
Africa,2003,411.063,12.663,2.6224,0.020059295,0.535599,82.57461
Africa,2004,435.967,13.365,2.9788496,0.02456688,0.7682805,87.21947
Africa,2005,456.926,11.293,3.0096693,0.029383464,0.7803821,88.83774
Africa,2006,479.613,10.026,3.7704048,0.03791205,0.8525656,92.049355
Africa,2007,502.82534000000004,11.317,3.1420484,0.050479364,1.0162233,95.19856
Africa,2008,509.066,13.004,3.2673957,0.07265389,1.3117782,96.96721
Africa,2009,510.993,12.806,3.5627222,0.09582155,1.5892309,99.56114
Africa,2010,558.871,12.099,3.764553,0.21605176,2.2845824,107.69848
Africa,2011,562.539,13.502,3.8587685,0.6020893,2.386504,110.75051
Africa,2012,592.082,11.954,4.0424066,0.99265915,2.5156302,111.22693
Africa,2013,603.6842049999999,14.106,4.433249,0.7875202,3.5934472,117.65244
Africa,2014,623.484531,13.794,5.462047,1.9041501,5.060073,124.08204
Africa,2015,648.395269,12.237,7.1696815,3.2586064,8.9106865,120.4148
Africa,2016,657.388939,15.026,7.231852,5.3840914,11.176371,117.42635
Africa,2017,661.079716,14.193,7.6260357,7.7734146,12.457454,126.34168
Africa,2018,669.859515,11.58,8.17267,10.053543,14.769322,134.60007
Africa,2019,668.966412,13.252,8.262966,12.894289,19.331635,139.4176
Africa,2020,653.662735,9.903,8.066416,16.058805,21.302898,146.37308
Africa,2021,676.856451,12.355,8.026317,16.515236,24.41597,153.4187
Africa,2022,678.089745,9.803,0.0,0.0,0.0,0.0
Africa (BP),1965,0.0,0.0,0.0,0.0,0.0,13.905635
Africa (BP),1966,0.0,0.0,0.0,0.0,0.0,15.510004
Africa (BP),1967,0.0,0.0,0.0,0.0,0.0,16.190636
Africa (BP),1968,0.0,0.0,0.0,0.0,0.0,18.938341
Africa (BP),1969,0.0,0.0,0.0,0.0,0.0,22.10089
Africa (BP),1970,0.0,0.0,0.0,0.0,0.0,27.63043
Africa (BP),1971,0.0,0.0,0.164,0.0,0.0,26.013391
Africa (BP),1972,0.0,0.0,0.165,0.0,0.0,29.633196
Africa (BP),1973,0.0,0.0,0.17,0.0,0.0,31.345707
Africa (BP),1974,0.0,0.0,0.175,0.0,0.0,35.667076
Africa (BP),1975,0.0,0.0,0.172,0.0,0.0,37.71797
Africa (BP),1976,0.0,0.0,0.185,0.0,0.0,41.797634
Africa (BP),1977,0.0,0.0,0.189,0.0,0.0,45.92877
Africa (BP),1978,0.0,0.0,0.195,0.0,0.0,46.30694
Africa (BP),1979,0.0,0.0,0.201,0.0,0.0,49.56523
Africa (BP),1980,0.0,0.0,0.207,0.0,0.0,48.311783
Africa (BP),1981,0.0,0.0,0.218,0.0,0.0,50.192905
Africa (BP),1982,0.0,0.0,0.236,0.0,0.0,50.206238
Africa (BP),1983,0.0,0.0,0.23,0.0,0.0,45.24716
Africa (BP),1984,0.0,0.0,0.234,0.0,0.0,44.489975
Africa (BP),1985,0.0,0.0,0.269,0.0,0.0,49.449684
Africa (BP),1986,0.0,0.0,0.659,0.0,0.0,51.145374
Africa (BP),1987,0.0,0.0,0.658,0.0,0.0,49.05646
Africa (BP),1988,0.0,0.0,0.626,0.0,0.0,53.593456
Africa (BP),1989,0.0,0.0,0.617,0.0,0.0,56.276215
Africa (BP),1990,0.0,0.0,0.796,0.0,0.0,57.254658
Africa (BP),1991,0.0,0.0,0.812,0.0,0.0,60.65149
Africa (BP),1992,0.0,0.0,0.84225,0.0,0.0,57.86029
Africa (BP),1993,0.0,0.0,0.9377,0.0,0.002,56.682507
